id_poliza,fecha_emision,id_cliente,id_corredor,id_aseguradora,id_tipo_seguro,prima,comision,monto_asegurado
438,2025-08-11,1972,73,12,10,1778.57,,295736.23
441,2026-01-10,539,50,3,6,0.0,81.86,99.56779
443,2025-10-17,2491,60,1,3,566.75,28.78,105.99194
445,2025-04-26,1383,42,5,9,1857.17,,350577.41
461,2025-08-09,1607,49,10,5,1391.27,13133.0,260544.91
483,2025-10-18,1785,66,9,7,1906.65,33586.0,68.87139
487,2025-06-15,777,20,1,10,1838.94,325.9,250058.9
488,2025-03-29,2538,78,15,4,469.17,,68548.42
498,2025-06-07,843,7,14,11,188.47,19.55,17873.98
514,2026-01-18,687,3,5,1,1046.69,81.8,95894.63
515,2025-03-15,2136,23,11,7,1808.77,450.96,326950.13
526,2026-02-08,284,65,10,8,1536.08,260.86,126568.35
549,2025-03-01,2373,37,2,3,1292.38,72.55,114912.08
556,2025-09-23,2075,41,5,7,910.0,,56.16762
557,2025-02-23,863,14,10,9,67002.0,110.59,73.43818
560,2026-01-08,2145,74,6,2,0.0,36991.0,304.33391
566,2025-02-18,2845,40,6,4,932.58,18941.0,78318.01
577,2025-08-07,2064,75,12,7,1.32578,90.78,61.7769
596,2025-01-04,2287,14,9,1,42627.0,65.37,24.69257
599,2025-04-28,2512,29,1,4,1.91482,387.89,161651.62
605,2025-10-03,1360,57,9,12,868.18,,34612.39
606,2025-09-09,2303,80,11,9,1.04234,242.2,51.73017
610,2026-01-19,1252,20,8,4,1498.15,152.4,188713.37
619,2025-06-16,960,23,5,3,1273.06,229.64,183943.29
628,2025-09-07,2464,32,1,12,77.7,,6.0803
635,2025-04-26,95,61,3,5,1.79202,44047.0,214083.88
637,2025-12-12,2618,61,9,9,738.1,1128.07,82512.43
638,2025-08-12,2820,21,3,4,85792.0,8338.0,141656.39
642,2025-06-01,7,71,4,9,53813.0,623.94,92726.9
646,2025-05-07,1510,65,13,10,65659.0,131.69,19747.59
666,2025-04-10,1930,34,7,1,355.38,,55585.71
671,2025-01-26,2212,62,6,7,1493.07,319.17,283016.51
672,2025-10-15,2629,72,15,11,1656.21,243.95,179745.23
675,2025-01-05,1309,1,5,8,304.6,40.62,40321.87
679,2025-04-24,2080,36,9,8,916.53,11612.0,152.75589
689,2025-01-18,1858,4,6,2,1605.13,,150198.88
698,2025-11-29,1427,65,1,11,489.27,88.6,28382.47
700,2026-01-30,167,5,5,6,0.0,107.12,68413.82
706,2025-05-26,1414,65,12,11,329.7,76.02,31168.43
720,2025-08-07,2627,13,13,4,707.83,170.65,30130.25
726,2026-01-30,1507,38,4,11,216.37,3406.0,34994.41
733,2025-04-26,1495,77,6,2,970.09,132.36,82527.5
740,2025-12-07,2140,12,8,3,107.75,1065.0,8.32069
752,2026-01-12,2688,7,7,9,1608.17,109.04,67692.48
755,2025-12-13,1268,20,1,10,54263.0,30.9,68.86265
764,2025-07-02,1319,65,9,3,1715.41,,204680.23
773,2025-02-13,1516,42,7,8,1605.25,170.35,195063.2
781,2025-11-20,521,35,12,11,1377.36,28027.0,258.99433
783,2026-02-14,2061,64,9,1,1305.84,189.76,83446.95
785,2025-08-10,1742,52,13,1,1399.54,92.82,58344.65
801,2025-07-25,649,46,1,6,737.38,60.16,73614.54
803,2025-09-17,1998,62,5,8,1587.48,2.16783,207934.12
819,2025-03-04,1881,11,6,1,107.13,15.95,2410.69
836,2025-10-25,2473,28,4,3,972.0,,44879.05
843,2026-01-13,657,60,6,8,1480.7,,283443.68
860,2025-07-19,2608,5,10,7,19716.0,3371.0,5.23001
879,2025-02-25,2781,76,9,11,487.84,73.85,41572.74
882,2025-07-14,1478,7,3,2,1615.12,339.75,260779.28
893,2025-06-14,835,38,3,9,1213.0,291.35,179.13764
896,2025-02-05,610,20,10,9,477.03,7281.0,74022.02
900,2025-08-04,1336,8,10,5,1356.71,113.33,225001.5
906,2025-04-12,343,47,2,12,1.58343,353.06,57993.95
955,2025-04-03,1676,30,3,12,977.94,8164.0,66113.44
966,2025-12-04,2375,24,6,12,1.03251,103.06,193961.45
979,2025-07-12,1306,105,14,2,79.6,,13816.88
997,2025-12-21,1248,51,14,4,229.38,56.54,36697.87
998,2025-04-30,928,72,7,4,1592.68,11766.0,34820.96
1003,2025-02-17,2670,23,8,8,1.63764,320.4,280930.95
1008,2025-04-03,1405,56,3,9,1.35329,182.11,209.25939
1014,2025-09-16,1236,78,8,6,79990.0,95.2,149053.6
1015,2025-01-16,2369,45,2,9,1.03394,124.79,103482.49
1016,2026-01-07,2088,32,10,8,1.06094,55.62,184294.87
1028,2026-01-29,2004,78,2,1,1645.76,33276.0,245058.91
1030,2025-07-21,1920,45,6,5,921.01,8332.0,135943.27
1032,2026-02-05,1058,71,15,11,1978.63,10408.0,356.20251
1038,2025-11-26,400,80,10,7,1470.37,259.13,88295.75
1044,2025-05-16,2156,20,7,3,904.25,209.02,54421.46
1065,2025-12-03,2527,17,6,6,1989.19,459.36,311684.97
1068,2025-09-06,1184,59,7,4,1907.66,460.53,362277.16
1072,2025-04-25,185,7,1,3,71964.0,,97.4345
1091,2025-06-05,1032,59,15,6,101.14,14.26,7.75081
1099,2025-08-29,2966,21,7,2,1005.27,237.75,161375.41
1102,2025-06-03,305,22,5,6,1852.66,,366312.75
1156,2025-01-31,1585,9,5,7,107.49,1596.0,7081.97
1162,2025-08-17,256,35,14,4,1047.31,12173.0,157.1855
1171,2025-04-03,272,72,2,10,699.83,97.22,112528.33
1178,2025-10-05,3761,8,10,10,1488.83,,65791.73
1181,2025-01-01,1466,64,5,4,412.24,,16238.21
1184,2025-01-10,2557,50,5,4,1236.51,151.82,212721.14
1195,2026-01-20,2882,5,10,7,1.51144,,67099.49
1197,2025-04-24,2247,25,7,9,649.49,7059.0,48913.59
1205,2025-08-07,218,40,10,8,829.03,19649.0,87169.07
1214,2025-10-03,2147,10,7,2,1.07586,21298.0,160338.16
1217,2025-01-11,292,63,4,2,1.56364,160.18,73871.74
1264,2025-04-18,609,80,10,7,998.07,,167810.75
1276,2026-02-10,218,72,3,5,223.93,13.04,21.49796
1282,2025-11-07,182,77,11,1,1327.05,231.46,113779.99
1290,2025-10-15,726,80,6,7,1.87663,24312.0,59128.32
1340,2026-01-20,1374,22,13,3,623.78,,90183.07
1351,2025-02-16,1869,10,14,4,1775.07,,338913.02
1369,2025-11-06,2599,20,11,1,1947.73,2.41769,333898.58
1373,2025-09-07,923,18,13,1,1370.8,160.63,167038.57
1382,2025-03-04,2010,31,11,4,76144.0,6794.0,34700.69
1383,2025-10-11,2030,71,8,2,942.34,60.02,73.74603
1395,2025-01-04,22,9,9,11,1388.48,71.57,156142.96
1410,2025-09-13,2934,80,8,9,1120.76,277.51,92953.74
1444,2025-01-04,224,4,7,10,1724.41,398.29,246.82217
1449,2025-05-01,31,24,9,5,160.0,12.62,17670.8
1454,2025-09-06,2203,74,4,8,1167.22,284.19,145.9664
1463,2025-08-06,1776,47,10,10,1784.43,309.88,50319.13
1480,2025-03-22,1914,33,15,1,1416.28,96.23,195234.95
1497,2025-04-15,831,22,15,8,11681.0,,19.47094
1500,2025-10-07,2369,43,9,7,1.23916,21262.0,245302.03
1528,2025-01-11,2563,44,1,8,1518.43,,292610.75
1537,2025-12-09,3821,6,6,2,74.62,15.94,11459.21
1569,2025-08-18,2326,31,5,7,1099.41,82.99,151.11655
1587,2026-01-02,1781,62,4,1,1506.63,,176051.43
1588,2025-05-19,844,12,15,3,1376.68,310.93,64519.62
1604,2025-11-03,354,16,9,7,367.22,7210.0,40366.29
1606,2026-01-31,1387,59,6,2,1.89652,17523.0,211.67811
1624,2025-10-03,1738,48,14,10,927.34,169.45,71920.47
1628,2025-06-20,2048,51,10,4,157.56,24.35,9256.94
1629,2025-04-07,2806,11,6,12,59997.0,,43706.84
1642,2025-02-25,574,66,13,12,1824.72,16857.0,326.77847
1654,2026-01-28,591,26,11,6,1373.54,203.59,47.74418
1657,2026-01-31,3761,14,8,2,1.58459,,140017.68
1664,2025-01-29,1538,15,2,6,64260.0,,128326.78
1670,2025-10-29,690,50,13,7,611.72,123.84,104.28313
1680,2025-07-27,1422,72,2,2,1996.04,,311938.91
1684,2025-02-18,2231,48,4,4,270.73,1773.0,25082.98
1685,2025-12-18,437,66,5,9,1870.58,41098.0,117.46394
1686,2025-09-24,1913,9,7,7,428.51,73.83,64001.48
1691,2025-02-16,1649,50,5,4,1976.69,360.58,108066.89
1713,2025-03-25,413,51,13,12,1.48763,34403.0,238195.71
1717,2025-12-28,571,120,1,11,1778.76,,147489.3
1721,2025-12-20,966,30,1,10,1398.59,,105979.44
1749,2025-12-26,1495,73,14,10,951.81,,49431.88
1761,2025-07-20,2286,50,8,10,1552.88,309.24,66184.0
1762,2025-07-12,350,72,3,6,1954.59,,354944.73
1764,2025-12-30,1330,14,10,4,424.39,,69369.92
1775,2025-06-17,2921,52,1,12,310.84,67.6,19315.0
1782,2025-03-18,1937,59,1,2,1864.27,22158.0,354074.1
1788,2026-02-03,1696,45,1,3,1734.03,29788.0,126757.4
1793,2025-10-23,2293,24,15,4,1.23861,,219274.04
1794,2025-07-04,1501,46,11,11,1.96746,125.14,62.85857
1800,2025-07-14,1029,67,11,8,32635.0,32.0,51097.71
1803,2025-05-01,2786,18,15,4,1720.84,,311.8853
1810,2025-04-15,894,60,4,11,63022.0,,65686.43
1832,2025-12-23,662,77,7,8,1019.78,151.25,78262.43
1833,2025-08-03,1639,30,4,5,410.3,62.54,10767.82
1843,2026-02-15,2054,73,11,4,1317.01,73.74,53666.7
1848,2025-03-16,1900,19,4,6,321.51,33.46,62.20218
1850,2025-07-12,2349,79,5,9,52738.0,,59201.58
1868,2026-02-11,2906,70,11,2,163.19,11.21,31636.45
1871,2026-01-24,1159,62,4,1,1.78493,38511.0,215267.86
1883,2025-06-25,157,6,3,3,1.14324,275.09,77884.13
1884,2025-06-27,333,72,15,11,12417.0,26.92,20466.14
1888,2025-04-27,83,7,9,2,1592.37,,95501.87
1891,2025-04-26,588,63,2,5,792.65,94.91,57831.15
1894,2025-01-13,1335,12,5,4,1.33582,20624.0,68993.54
1900,2025-02-27,741,13,5,7,525.73,78.76,71917.4
1909,2025-04-19,1225,39,13,7,1070.48,,21793.61
1912,2025-01-05,2668,72,5,2,1433.21,344.96,88369.28
1926,2025-08-28,2109,41,9,1,419.3,2939.0,57025.51
1928,2025-09-21,14,4,5,2,54957.0,13234.0,30152.71
1929,2026-02-06,33,34,13,3,1889.05,402.01,354610.2
1931,2025-12-26,1298,11,12,11,538.11,,51.41976
1942,2025-01-25,1415,17,2,10,1076.43,18676.0,57824.4
1943,2025-01-11,667,75,4,4,44554.0,56.8,81602.05
1945,2025-03-30,1992,36,3,3,23951.0,44.15,9622.16
1946,2025-12-13,1224,53,12,2,85.68,16.13,7710.95
1959,2025-03-28,1978,66,5,12,190.64,41.81,26704.85
1974,2025-06-06,1620,48,13,3,256.11,,22.26597
1977,2025-07-26,884,77,15,2,818.87,144.4,107.68827
1985,2025-06-06,2629,15,5,5,314.28,19.25,35000.73
1991,2025-07-17,366,77,7,3,220.74,18.55,43252.05
2000,2025-08-09,1491,73,13,6,1181.87,13377.0,29112.33
2002,2025-02-17,1583,61,3,8,154.29,12.19,11208.34
2010,2025-12-15,552,44,5,8,1735.07,42450.0,137950.79
2022,2025-10-25,443,32,14,12,1857.25,37358.0,368693.78
2047,2025-10-05,2004,61,4,12,1935.32,,47796.85
2058,2026-01-12,719,63,5,11,339.69,83.67,44824.5
2064,2025-05-07,2690,75,6,12,371.84,42.59,25141.34
2071,2026-02-11,2424,55,6,12,1173.5,7739.0,44741.52
2084,2025-09-01,160,9,6,11,377.98,75.16,54240.77
2108,2025-02-06,1176,35,14,12,1432.05,106.29,178029.64
2111,2025-12-29,2730,49,7,12,80704.0,17402.0,32303.05
2113,2025-08-06,253,4,8,5,1.05565,247.32,182688.17
2117,2025-06-07,2005,3,2,11,20493.0,13.67,11360.18
2132,2025-05-03,1018,47,11,11,50962.0,2840.0,68155.35
2136,2025-03-22,1893,35,15,7,163.0,16.17,11889.33
2146,2025-02-11,2538,48,8,10,1.34848,,164157.44
2153,2025-07-01,1177,69,9,2,1458.35,283.24,158384.3
2154,2025-08-30,1849,32,2,2,68.24,5.73,11.60117
2161,2025-02-06,2554,10,11,12,49742.0,97.87,92.425
2165,2025-08-13,577,36,3,1,980.87,95.14,189390.39
2171,2025-05-25,14,36,15,7,787.02,43.71,24744.99
2184,2025-08-03,1071,35,3,4,1329.37,315.07,153324.29
2199,2025-09-27,695,69,9,3,960.43,,65.90201
2215,2025-01-29,1145,16,10,4,844.72,42.54,131419.39
2217,2026-01-02,2213,41,15,9,1793.35,191.21,96108.85
2232,2025-05-24,1312,47,5,10,21938.0,4407.0,12710.05
2240,2025-08-24,2338,50,10,4,1250.81,,88214.75
2243,2025-11-09,2954,70,11,11,15799.0,29.32,6262.35
2244,2025-06-06,1758,4,4,7,1759.11,159.27,88677.1
2252,2026-02-14,15,51,4,6,603.99,,74420.02
2255,2025-06-25,1793,26,11,1,1924.99,32396.0,246.55371
2259,2025-06-15,1997,40,10,3,1649.25,154.77,191749.44
2273,2025-10-13,1836,34,6,10,387.16,,47.68082
2277,2025-02-12,1467,36,8,10,1177.05,,211501.81
2279,2025-01-11,1133,58,12,4,347.06,51.42,66930.23
2294,2025-01-05,201,3,5,8,1428.44,91.41,175455.19
2297,2025-11-16,528,52,7,10,366.62,35.48,16176.98
2305,2025-03-25,652,49,15,10,663.22,42.86,90.76758
2315,2025-11-30,1754,63,3,10,1946.72,,312339.96
2337,2025-08-14,939,5,10,1,690.86,6554.0,118345.74
2343,2025-11-13,241,76,12,4,1400.27,184.79,209277.57
2346,2025-08-20,444,63,6,7,786.92,146.68,60136.83
2350,2025-08-22,479,2,7,9,556.79,74.96,97943.93
2368,2025-12-16,1115,10,14,8,476.98,8330.0,78664.25
2369,2025-05-24,449,22,10,7,1963.29,,252.18308
2381,2026-01-19,1579,38,14,12,1561.68,,291076.59
2385,2025-02-05,518,13,1,2,1935.37,389.8,40.68816
2394,2025-11-12,2198,66,15,10,1772.74,336.14,216414.91
2398,2025-05-31,1853,72,3,1,143.24,12.65,19956.82
2408,2025-10-21,771,36,5,10,1433.76,91.05,196648.66
2449,2025-07-17,319,26,7,9,41201.0,92.98,80772.99
2452,2025-04-06,146,39,1,7,1690.41,,289283.89
2456,2025-02-25,1757,61,4,5,1.9291,336.06,231.00425
2468,2025-07-12,1253,6,12,1,854.6,20370.0,33393.55
2478,2025-12-20,1827,12,11,5,176.01,,32.58496
2496,2025-09-11,162,61,4,10,1259.17,154.61,77.9041
2511,2025-07-29,1682,43,9,11,200.67,44.08,26.48537
2552,2025-05-20,904,41,15,12,1.51666,15047.0,179053.33
2566,2025-01-05,816,59,7,1,1836.96,309.39,230589.2
2580,2025-10-19,927,21,7,10,630.34,114.89,47.37188
2587,2026-01-27,1603,30,13,5,1792.6,44174.0,320.21567
2605,2025-05-14,1689,38,13,3,139.94,7.35,14.03301
2618,2025-10-03,1716,10,1,2,67.34,6.06,2.59913
2635,2025-05-02,429,31,5,7,659.0,153.47,84782.07
2641,2025-07-30,1664,65,1,8,487.2,5929.0,82246.9
2644,2025-05-15,321,48,14,8,1475.75,,161.24388
2652,2025-05-31,2524,33,11,12,653.39,115.58,55807.76
2656,2025-08-05,1772,37,13,10,97761.0,,111898.78
2658,2026-01-17,1799,45,7,9,1778.86,307.11,276373.38
2661,2026-01-31,2046,41,2,2,1267.47,197.35,221361.08
2665,2025-02-17,1647,80,2,8,1963.38,,238.90533
2679,2025-11-24,2683,74,14,5,1638.42,395.88,222861.58
2680,2025-04-03,3710,28,2,6,1280.19,229.44,48994.84
2683,2025-09-17,411,42,5,11,66.25,11.28,12899.69
2688,2025-01-31,1174,41,11,9,414.79,2571.0,38317.55
2690,2025-09-15,1113,17,14,7,1764.72,43848.0,329827.71
2692,2025-07-21,2001,8,13,10,614.34,3928.0,59376.03
2703,2025-11-24,1794,45,13,4,1594.12,,191030.25
2706,2025-07-02,1735,62,8,11,1604.73,285.5,86340.91
2711,2025-11-27,807,33,10,3,1388.27,127.91,188932.31
2714,2025-04-16,812,38,11,11,422.81,41.64,60069.7
2724,2026-01-27,940,24,6,3,942.91,9319.0,93519.49
2732,2025-04-25,1292,29,7,1,867.01,130.12,164699.99
2736,2025-08-31,2916,21,12,10,660.08,52.05,22.40383
2738,2025-02-11,3721,80,15,8,1405.84,14965.0,159373.81
2740,2025-09-05,2835,51,3,1,1.4129,,73046.49
2765,2025-02-15,1449,27,2,6,1.92991,98.94,299.8668
2766,2025-06-18,1629,9,5,2,1995.92,276.03,226.975
2778,2026-02-05,1497,30,4,11,1.37783,283.22,27599.11
2784,2025-10-23,2284,32,2,12,236.17,46.36,18551.71
2793,2025-02-28,2716,73,12,1,539.22,5545.0,66540.17
2797,2026-02-11,1522,80,4,10,1093.93,156.72,207.79288
2802,2025-07-03,2179,17,7,4,1896.56,,279510.04
2819,2026-02-07,2587,40,5,11,315.54,,57.50917
2822,2025-09-27,2767,44,7,12,1391.96,206.45,149315.34
2836,2025-02-02,1064,28,7,5,888.0,145.35,131733.7
2838,2025-01-08,1999,75,8,12,545.79,9654.0,101.15245
2844,2025-11-21,213,49,14,4,1230.45,,140747.22
2881,2025-05-14,1396,78,9,3,217.63,,18.64875
2893,2025-07-22,2997,77,2,8,1314.17,113.54,130116.17
2926,2025-01-05,713,46,2,6,958.81,7010.0,162.11882
2931,2025-07-13,1005,75,11,1,75.38,1768.0,2893.7
2932,2025-04-19,2461,5,7,11,51.68,9.37,8808.87
2954,2025-09-21,2667,15,14,1,694.14,158.53,118657.32
2958,2025-12-17,934,50,2,9,1.54862,190.73,196445.78
2960,2025-04-27,685,73,1,1,1585.79,318.31,233027.76
2967,2025-01-05,2198,46,2,2,29780.0,42.57,54508.11
2981,2025-02-25,1010,73,4,5,1.85685,189.37,259330.79
2997,2025-04-10,2297,76,6,4,638.65,10684.0,21.80815
3001,2025-07-03,2066,63,3,4,800.01,79.69,70.0122
3018,2025-03-19,2053,72,1,11,494.99,3990.0,10154.67
3023,2025-01-08,169,11,13,2,22373.0,,41.33382
3038,2025-09-08,309,47,8,8,502.75,37.5,53512.46
3041,2025-12-03,2238,59,6,11,1095.55,100.53,156740.15
3057,2025-01-29,1351,44,7,8,1.54086,127.78,66335.26
3066,2025-12-24,2007,38,6,4,91551.0,55.36,141.39665
3075,2025-02-23,1907,65,10,3,87964.0,9420.0,26.33859
3090,2025-10-19,2811,34,7,12,250.51,33.76,29.2877
3100,2025-12-17,1070,36,15,3,1420.43,127.12,30257.1
3101,2025-03-26,1023,24,1,10,1986.01,,335.53966
3108,2025-08-28,2100,65,9,12,1255.55,309.67,226894.73
3110,2025-04-22,2722,37,9,1,1.31828,269.93,209.55421
3113,2025-11-16,231,46,4,1,56134.0,,88985.96
3131,2025-09-14,233,9,6,6,1223.14,101.75,100.88718
3154,2025-12-26,1172,74,13,5,43921.0,2311.0,13710.21
3160,2026-01-03,71,14,13,11,43220.0,,70611.7
3178,2025-04-11,181,20,13,3,43364.0,8835.0,28166.77
3181,2025-06-01,2429,59,6,2,1387.89,301.61,176677.66
3200,2025-11-22,2397,60,3,8,424.75,,27014.56
3202,2025-03-04,1300,47,7,11,1710.46,241.31,262.11849
3207,2026-01-07,2476,18,9,2,1.01233,14864.0,70547.54
3220,2025-11-18,2128,47,9,6,942.0,22848.0,81745.52
3221,2026-01-12,2540,21,14,10,1.36594,90.86,157.2423
3227,2025-07-22,349,63,3,9,1565.17,120.8,42629.09
3228,2025-05-09,187,24,8,2,0.0,205.07,63.20035
3229,2025-05-14,160,2,12,12,461.92,8489.0,90.20159
3252,2025-12-22,1175,38,13,7,1230.91,21098.0,166.12745
3256,2026-01-28,1962,45,6,9,56645.0,,76124.17
3264,2025-10-29,903,36,10,7,22011.0,49.64,20091.47
3277,2025-10-16,937,41,5,9,1237.85,23633.0,29.91547
3284,2025-09-10,789,76,3,7,1658.76,209.8,322345.02
3298,2025-11-28,2231,5,1,1,1.53983,261.78,199295.4
3299,2025-04-15,1042,53,8,1,76710.0,174.59,43169.15
3302,2025-03-26,2807,3,5,9,1429.32,18730.0,244181.84
3303,2025-08-01,2403,72,11,4,396.6,93.07,65779.47
3331,2025-05-03,1047,11,4,6,1249.63,187.38,35164.44
3343,2025-10-16,67,57,4,9,94707.0,,134.23574
3362,2025-10-06,2683,20,13,1,1259.88,67.24,27736.02
3367,2025-09-20,710,51,11,10,0.0,241.98,163333.79
3389,2025-01-01,2740,69,2,8,1626.21,40073.0,167731.7
3393,2025-12-28,1552,72,3,9,1.57438,219.28,238996.99
3401,2025-06-11,956,28,5,12,1.99312,,298022.21
3407,2025-02-21,2444,73,10,8,1.40346,32710.0,119815.43
3414,2025-04-06,1039,34,4,4,1891.6,460.2,324821.4
3443,2026-02-05,1745,20,1,7,1791.71,211.84,193915.09
3467,2025-05-24,2008,16,15,1,1684.45,,48.1151
3471,2025-08-01,1629,13,5,10,1061.48,,154227.99
3480,2025-12-31,3528,98,3,4,1677.36,20265.0,190375.17
3483,2025-12-23,1982,36,1,12,27299.0,6468.0,50990.24
3488,2026-01-18,2966,10,2,6,1.10814,,117015.29
3503,2025-12-15,744,79,14,4,1.46812,29430.0,208024.37
3524,2025-10-24,2891,34,5,8,1.87248,9477.0,324411.61
3526,2025-07-14,3550,21,9,10,1.34082,219.98,168637.17
3543,2025-08-11,1190,79,5,3,8761.0,19.64,8771.13
3544,2025-09-13,736,55,9,3,1911.12,395.92,158755.95
3549,2025-11-14,322,18,6,8,494.38,87.53,25003.36
3559,2026-02-06,1268,30,7,3,117.0,,20065.73
3568,2025-05-18,894,42,12,1,1596.39,,284746.75
3578,2025-12-24,3630,18,14,11,1609.14,,222228.27
3580,2026-02-05,2983,16,2,9,624.24,130.01,57020.38
3583,2026-02-18,1230,19,1,10,1092.84,13721.0,180.15362
3589,2025-06-20,2217,13,2,10,662.84,62.56,62.41473
3590,2026-02-11,1023,49,9,6,1117.07,,160063.75
3596,2025-11-01,1848,53,5,5,453.71,30.69,22638.39
3597,2025-03-28,742,37,2,5,1.8295,117.98,214088.95
3605,2025-08-15,1366,59,12,9,65.35,,7939.97
3609,2025-03-05,2304,43,11,6,201.81,336.02,20.99338
3611,2025-08-16,1010,16,5,4,150.61,32.26,30.0733
3624,2026-01-01,1722,3,13,7,542.8,130.48,36639.03
3641,2025-12-26,2721,22,8,12,943.18,21179.0,164.67236
3649,2025-10-09,1272,77,14,9,886.86,5513.0,77.59871
3658,2025-10-03,628,31,3,11,0.0,126.13,313310.72
3667,2025-09-14,2967,39,12,12,1734.47,32382.0,107767.82
3707,2026-01-08,901,68,5,9,274.24,3154.0,6.21147
3714,2025-05-02,40,39,15,5,525.81,11263.0,24720.4
3725,2026-02-14,369,22,5,10,1886.96,,220.75406
3726,2025-03-16,1755,79,5,2,1766.4,,63517.15
3735,2025-10-11,2519,15,8,7,46603.0,,22139.11
3743,2025-11-30,475,11,7,11,432.5,,24338.75
3752,2025-05-03,294,15,10,8,1583.56,13307.0,304.54689
3757,2025-09-10,2805,15,5,10,20253.0,27.61,18433.27
3761,2025-12-01,2524,63,2,3,274.53,3949.0,22917.36
3768,2025-05-11,770,1,13,1,57536.0,32.32,30.95473
3790,2025-03-23,673,18,6,5,637.52,146.91,87363.25
3801,2025-05-05,560,23,13,9,974.08,,45893.81
3803,2025-05-24,397,41,8,5,1894.88,,128220.88
3810,2025-08-10,3552,7,12,1,262.93,60.84,16.45305
3818,2025-03-08,1912,60,6,5,1.87824,420.05,162215.85
3821,2025-12-18,2217,50,14,12,726.25,38.91,124016.12
3827,2026-01-24,744,19,1,9,1278.57,87.31,182729.7
3828,2025-02-17,536,66,5,1,1.56926,333.87,171362.99
3838,2026-02-04,453,57,8,6,966.22,213.68,164970.33
3851,2025-11-23,313,72,6,2,1.7405,42045.0,279212.72
3855,2025-05-21,1070,35,11,5,50.86,7.2,2204.66
3859,2025-07-17,1747,12,1,3,1525.84,10092.0,223031.86
3862,2025-03-04,1960,7,14,11,1.39389,186.08,259479.61
3866,2025-02-04,916,22,2,5,1380.36,,146267.82
3875,2025-10-03,1343,2,15,5,1969.31,416.27,342612.29
3888,2025-03-20,2206,43,12,7,687.6,11103.0,21458.48
3889,2025-05-18,1720,43,1,4,34587.0,6644.0,59985.57
3898,2025-09-05,987,36,12,8,618.38,53.87,20572.35
3899,2025-02-25,2607,6,3,11,126.99,10.32,20362.49
3909,2025-01-13,2940,70,13,10,62528.0,81.99,30.10376
3915,2025-10-18,1949,28,1,2,644.27,4127.0,23958.86
3935,2025-04-04,126,34,15,4,0.0,,92172.37
3939,2025-12-29,327,42,10,7,675.49,64.54,28103.86
3942,2025-06-01,955,9,10,5,78538.0,155.93,80052.41
3947,2025-03-16,282,41,8,3,1837.03,,122260.44
3953,2025-03-19,1168,41,1,8,79433.0,86.06,73617.04
3962,2025-10-02,202,47,11,1,141.69,2745.0,28.03543
3968,2025-05-22,2164,37,3,10,1574.39,,189744.83
3970,2025-06-02,2096,71,4,8,1.0022,,166.26185
3972,2025-07-13,625,26,11,6,1959.75,,304054.11
3994,2026-01-27,674,5,14,6,72.83,8.78,11.85091
3995,2025-04-29,1946,69,10,5,1678.73,28150.0,286442.34
3999,2025-03-17,85,41,14,4,1.33147,316.97,239524.85
