id_poliza,fecha_emision,id_cliente,id_corredor,id_aseguradora,id_tipo_seguro,prima,comision,monto_asegurado,motivo_rechazo
382,,1204,29,13,1,,73.38,163339.83,"fecha_invalida,prima_invalida"
383,,234,34,13,4,,7381.0,108825.24,"fecha_invalida,prima_invalida"
384,,1158,68,2,2,1.86173,346.31,57.06912,fecha_invalida
385,,2090,16,3,8,76605.0,50.66,127959.71,fecha_invalida
386,,117,43,4,7,,21.8,43701.61,"fecha_invalida,prima_invalida"
387,,48,63,2,4,1487.16,267.57,84325.7,fecha_invalida
388,2025-12-01,1001,47,14,4,,,87.87006,prima_invalida
389,,581,53,13,12,216.28,,,"fecha_invalida,monto_invalido"
390,,2187,14,5,10,1.18203,,89798.89,fecha_invalida
391,,2575,43,15,11,,59.01,30926.4,"fecha_invalida,prima_invalida"
392,,1062,38,15,3,,79.4,109.42504,"fecha_invalida,prima_invalida"
393,,1157,7,1,7,6698.0,1096.0,11874.36,fecha_invalida
394,,1895,76,4,9,735.69,132.66,53150.39,fecha_invalida
395,,1038,46,12,4,1225.95,71.97,191272.59,fecha_invalida
396,,588,51,3,6,1353.44,309.33,,"fecha_invalida,monto_invalido"
397,,2761,77,9,9,,,26.51038,"fecha_invalida,prima_invalida"
398,,1255,78,12,12,1796.91,34546.0,150449.96,fecha_invalida
399,,2988,14,9,4,308.81,24.4,44128.8,fecha_invalida
400,,1674,35,12,1,1544.57,,42133.22,fecha_invalida
401,,1435,1,3,12,1745.43,,260632.03,fecha_invalida
402,,1721,63,8,5,405.99,71.04,,"fecha_invalida,monto_invalido"
403,,1714,75,3,2,,,45428.93,"fecha_invalida,prima_invalida"
404,,1407,28,14,8,,42.22,19368.57,"fecha_invalida,prima_invalida"
405,,2328,47,1,8,1.26426,275.94,131.57543,fecha_invalida
406,2025-09-22,1393,7,15,3,1384.51,194.9,,monto_invalido
407,,618,23,1,9,1327.66,,234.80196,fecha_invalida
408,,1694,5,3,4,45892.0,97.55,,"fecha_invalida,monto_invalido"
409,,686,26,1,9,1075.26,65.95,105494.6,fecha_invalida
410,,1818,66,11,9,,,98.74466,"fecha_invalida,prima_invalida"
411,,177,38,10,8,393.15,,37.04034,fecha_invalida
412,,2826,18,1,5,1596.8,373.29,219135.53,fecha_invalida
413,,1069,25,15,5,1229.31,11093.0,151597.25,fecha_invalida
415,,2645,56,8,11,344.91,46.82,65854.06,fecha_invalida
416,,297,21,5,10,46488.0,101.67,45376.39,fecha_invalida
417,2025-10-07,60,35,8,1,620.81,90.95,,monto_invalido
418,,206,29,11,12,360.12,86.63,69683.94,fecha_invalida
419,,111,71,13,6,942.78,142.54,116621.23,fecha_invalida
420,,2211,1,15,6,1.8379,390.08,107175.91,fecha_invalida
421,,1662,44,11,4,293.77,44.98,28807.95,fecha_invalida
423,,807,50,9,8,21077.0,41.24,35549.86,fecha_invalida
424,,1234,1,12,6,54719.0,68.36,60347.81,fecha_invalida
425,,1481,30,11,2,538.85,105.16,69395.89,fecha_invalida
426,,897,74,14,10,1677.27,259.69,287389.71,fecha_invalida
427,,2943,35,9,5,1849.84,222.39,187959.06,fecha_invalida
428,,1293,54,9,10,1683.76,27840.0,304002.46,fecha_invalida
430,,758,10,8,6,17094.0,2814.0,19950.67,fecha_invalida
432,,1557,62,3,5,,207.9,,"fecha_invalida,prima_invalida,monto_invalido"
433,,82,11,2,2,1611.89,24446.0,226.22087,fecha_invalida
434,,2333,51,2,6,,17.35,,"fecha_invalida,prima_invalida,monto_invalido"
